,lat,lng,demand_score
103,42.23997,-73.19686,60.80947151553806
104,42.30264,-73.39846,365.2583352926026
105,42.66593,-73.24209,4158.041323319073
106,42.51297,-73.04859,409.9974022932522
107,42.62375,-72.60379,6608.310692095356
108,42.51772,-72.81556,591.4355710801427
109,42.56793,-72.18324,4592.3970479840755
110,42.69512,-72.57731,875.614519897684
111,42.5814,-72.80309,31.36634199768293
112,42.61099,-72.88846,434.72743387948407
113,42.68805,-72.73205,595.7468576539404
114,42.50734,-72.70221,603.626772065951
115,42.54384,-72.6058,542.2979158655359
116,42.66766,-72.98822,66.95095107153166
117,42.60756,-72.42916,575.7485193630523
118,42.6706,-72.81323,187.777473547699
119,42.56027,-72.51321,54.06159177460862
120,42.56656,-72.47045,288.43479048051495
121,42.72259,-72.98291,35.73980201574066
122,42.54162,-72.52069,1070.9961142325571
123,42.63282,-72.51136,639.6117684905053
124,42.45101,-72.33141,302.533948470009
125,42.67575,-72.446,1106.5451401056641
126,42.60449,-72.29263,2463.3909866510962
127,42.48858,-72.18564,421.24960340631367
128,42.69674,-72.91387,190.523489087291
129,42.67815,-72.18557,530.6368751689257
130,42.59607,-72.72915,1338.6579795020696
131,42.47292,-72.61516,1901.0779619422224
132,42.46475,-72.55489,1537.6717478673793
133,42.59273,-72.54591,1776.23061245312
134,42.67711,-72.34057,303.4831090202899
135,42.54149,-72.3989,261.5681211369661
136,42.58675,-72.40264,10.083946205506978
137,42.58559,-71.81693,15469.940500120842
138,42.66069,-71.9232,2477.219287449453
139,42.67652,-71.82322,1213.6919484831699
140,42.56351,-71.57059,3836.703274422682
141,42.53149,-71.61663,688.2922679148077
142,42.60579,-72.08958,1381.7858662626575
143,42.56028,-72.03583,78.15470266358874
144,42.58797,-71.98649,7477.511322037274
145,42.61368,-71.56139,5435.0526074566
146,42.50005,-71.57754,2551.3232126184357
147,42.48378,-72.00514,1714.6242788916811
148,42.51961,-71.76583,16365.61393782061
149,42.53503,-71.4891,4517.562817646595
150,42.58994,-71.72036,4748.066417745683
151,42.67126,-71.60429,4834.494262409649
152,42.57411,-71.6475,2942.7082039734705
153,42.55324,-72.06879,1657.523112570037
154,42.66514,-71.69161,2847.541273465001
