Location,Code,Type,Address,Latitude,Longitude
California,DSF3,FC,"1700 Montague Expy., San Jose, CA 95131",37.4032256,-121.8983239
California,DSF4,FC,"100-172 Washington Ave, San Leandro, CA 94577",37.713455,-122.148687
California,DSF5,FC,"250 Utah Avenue, South San Francisco, CA 94080",37.646146,-122.3967644
California,DSF6,FC,"6015 Giant Road, Richmond, CA 94080",37.9818571,-122.3522841
California,DSM1,FC,"1640 W Capitol Ave, West Sacramento, CA 95691",38.5806189,-121.5302634
California,FAT1,FC,"3575 S Orange Ave, Fresno, CA 93725-9588",36.6836906,-119.7657314
California,FCA2,FC,"500-534 Beryl St, RedondoBeach, CA 90277",,
California,FCA3,FC,"1395-1405 Lincoln Blvd, Santa Monica, CA 90401",,
California,FCA4,FC,"2900 Alton Pkwy, Irvine, CA 92606",33.6818702,-117.8129389
California,FCA5,FC,"101 S Main St, LosAngeles, CA 90012",,
California,FCA7,FC,"390 W El Camino Real, Sunnyvale, CA 94087",37.3690182,-122.0370088
California,FCA8,FC,"Campanile Way, Berkeley, CA 94709",37.8713321,-122.2609013
California,FJC9,FC,"500 San Bruno Ave, Brisbane, CA 94005",37.6807266,-122.3997328
California,HCA3,FC,"3334 N SAN FERNANDO RD BLDG E, Los Angeles, CA 90065",,
California,HLA3,FC,"24208 San Michele Rd. Moreno Valley, CA, 92551 – Riverside County",33.8720683,-117.2381747
California,KRB1,FC,"555 East Orange Show Rd. San Bernardino, CA 92408-2453 – San Bernardino County",34.0783622,-117.2732931
California,LAX6,FC,"5119 District Blvd, Los Angeles, CA 90058",33.9942005,-118.1837278
California,LAX9,FC,"11263 Oleander Ave, Building 1, Fontana, California, 923378006 , San Bernardino County",,
California,LGB1,FC,"2417 E. Carson St, Long Beach, California, 90810 , Los Angeles County",,
California,LGB3,FC,"4590 Goodman Way, Building 1, Eastvale, CA 91752-5088",,
California,LGB4,FC,"27517 Pioneer Ave, Redlands, CA 92374",34.079548,-117.2038977
California,LGB5,FC,"555 East Orange Show Rd. San Bernardino, CA 92408-2453 – San Bernardino County",,
California,LGB6,FC,"20901 Krameria Ave, Riverside, CA 92518-1513",33.8798312,-117.2990608
California,LGB7,FC,"1660 N. Locust Ave., Rialto, CA 92376 , San Bernardino",34.1216353,-117.4097201
California,LGB8,FC,"1568 N Linden Ave, Rialto, CA 92376",34.1294004,-117.4054851
California,LGB9,FC,"4375 N Perris Blvd, Perris, California, 92571 , Riverside County",33.849814,-117.2229536
California,OAK3,FC,"255 Park Center Drive, Patterson City, CA 95363-8876",,
California,OAK4,FC,"1555 N. Chrisman Road, Tracy, CA 95304-9370",37.7451879,-121.4059622
California,OAK6,FC,"38811 Cherry Street, Newark, California, 94560-4939",37.5196836,-122.0153818
California,OAK7,FC,"38811 Cherry St, Newark, CA 94560",37.5196836,-122.0153818
California,OAK8,FC,"1 Middleton Way, American Canyon, CA 94503",38.2047764,-122.2643718
California,ONT2,FC,"1910 E Central Ave, San Bernardino, CA 92408, United States",,
California,ONT6,FC,"24208 San Michele, Moreno Valley, CA 92551",33.8720683,-117.2381747
California,ONT7,FC,"2020 E Central Avenue, Southgate Building 4, San Bernardino, CA 92408-2606",,
California,ONT8,FC,"24300 Nandina Ave., Moreno Valley, California, 92551-9534",33.868292,-117.2371219
California,ONT9,FC,"2125 W San Bernardino Ave, Redlands, CA, United States",,
California,PCA1,FC,"1565 N MacArthur Drive, Tracy, California 95376 , San Joaquin County (Seasonal facility)",,
California,PCA2,FC,"1650 East Central Avenue, San Bernardino, California, 92408 , San Bernardino County (Seasonal facility)",,
California,PSP1,DC,"1010 West Fourth Street, Beaumont, California, 92223 , Riverside County",,
California,RCA1,FC,"8411 Market St, San Francisco, CA 94103",37.7718953,-122.4232865
California,RCA2,FC,"500-534 Beryl St, RedondoBeach, CA 90277",,
California,RCA3,FC,"1395-1405 Lincoln Blvd, Santa Monica, CA 90401",,
California,RCA4,FC,"2900 Alton Pkwy, Irvine, CA 92606",33.6818702,-117.8129389
California,RCA5,FC,"101 S Main St, LosAngeles, CA 90012",,
California,RCA6,FC,"402w Broadway, San Diego, CA 92101",32.7156979,-117.1606319
California,RCA7,FC,"195-199 E Santa Clara St, San Jose, CA 95113",,
California,RCA8,FC,"Campanile Way, Berkeley, CA 94709",37.8713321,-122.2609013
California,RLA4,FC,"111 S Anaheim Blvd, Anaheim, CA 92805",,
California,RSJ1,FC,"2710 N 1st St, SanJose, CA 95134",,
California,SCK1,FC,"4611 Newcastle Road, Stockton, California, 95215 , San Joaquin County",37.9133861,-121.2022166
California,SJC7,FC,"188 Mountain House Pkwy, Tracy, CA 95391",37.7250331,-121.5293522
California,SJC8,DC,"46724 Lakeview Blvd, Fremont, California, US",,
California,SMF1,FC,"4900 W Elkhorn Blvd, Metro Air Park, Sacramento, CA 95835-9505",,
California,SMF3,FC,"4723 S B Street, Stockton, California, 952159446 , San Joaquin County",,
California,SMF5,FC,"300 Crocker Dr, Vacaville, CA 95688, United States",,
California,SNA4,FC,2496 W Walnut St. Rialto CA 92376-3009,,
California,SNA6,FC,"5250 Goodman Road, Eastvale, CA 92880",,
California,SNA7,FC,"555 East Orange Show Rd. San Bernardino, CA 92408-2453",34.0783622,-117.2732931
California,SNA8,FC,"555 East Orange Show Rd. San Bernardino, CA 92408-2453",34.0783622,-117.2732931
California,SNA9,FC,"5250 Goodman Road, Eastvale, CA 92880",,
California,TBD,FC,"4532 Newcastle Rd, Stockton, CA 95215, United States",37.9141548,-121.1975592
California,UCA1,FC,"888 Tennessee Street, San Francisco, CA 94112",37.7607987,-122.3899773
California,UCA2,FC,"Redondo Beach, CA 90277",33.8398289,-118.3845942
California,UCA3,FC,"11800 W Olympic Blvd., Los Angeles, CA 90064",,
California,UCA4,FC,"2006 McGaw Ave., Irvine, CA 92614",33.6899248,-117.8456695
California,UCA5,FC,"Silver Lake, Silver Lake, CA 90001",34.0833494,-118.2722179
California,UCA6,FC,"2727 Kurtz St., San Diego, CA 92110",32.749895,-117.201052
California,UCA7,FC,"222 Commercial Street, Sunnyvale, CA 94085",37.378595,-122.0075467
California,UCA8,FC,"3100 San Pablo Ave. Ste 120, West Berkley, CA 94702",,
California,UCA9,FC,"2934 Ramona Avenue, Sacramento, CA 95826",38.5474659,-121.4163435
California,VUBD,FC,"17182 Nevada Avenue, Victorville, CA 92345",34.5741428,-117.3653268
California,VUGE,FC,"3450 DULLES DR, Mira Loma, CA 91752",,
California,VUKF,FC,"18120 Bishop Ave, Carson, CA 90746",33.8660678,-118.2425738
California,VUMX,FC,"241 E Pacific Coast Hwy, Wilmington, CA 90744",33.7908693,-118.2507086
California,VUPQ,FC,"9211 Kaiser Way, Fontana, CA 92335",,
California,VUTD,FC,"8291 Milliken Avenue, Rancho Cucomonga, CA 91730",,
California,XUSD,FC,"1909 Zephyr Street, Stockton, CA 95206",37.9166607,-121.2504043
California,XUSJ,FC,"1590 Tamarind Ave, Rialto, CA 92376",34.1271468,-117.4249567
California,XUSV,FC,"2125 San Bernardino Ave, CA",34.077302,-117.1254349
Colorado,DDV5,DC,"Aurora, Colorado, 80011 , Denver County",,
Colorado,DEN1,FC,"221-189 E 144th Ave, Thornton, CO 80023, USA",,
Colorado,DEN2,FC,"24006 East 19th Avenue, Aurora, CO 80019-3705",39.7436473,-104.7101962
Colorado,DEN3,FC,Grant Street Thornton CO 80023-6622,39.9604948,-104.9819007
Colorado,DEN6,FC,"480 E 55th Ave, Denver, CO 80216",39.7945205,-104.981048
Colorado,FCO4,FC,"1437 Bannock St, Denver, CO 80202",39.7391847,-104.9910938
Colorado,UCO1,FC,"480 E 55th Ave Suite 100, Denver, CO 80216",,
Connecticut,BDL1,FC,"801 Day Hill Road Windsor, CT 06095",41.876107,-72.694975
Connecticut,BDL2,FC,"409 Washington Ave, North Haven, CT 06473",41.4133111,-72.8463938
Connecticut,BDL3,FC,"415 Washington Ave, Building 3, North Haven, CT 06473 , New Haven County",,
Connecticut,DBO3,FC,"601 Boston Post Rd, Milford, CT 6460",41.2306417,-73.0632748
Connecticut,DCN1,FC,"1675 Post Rd, Fairfield, CT 6824",41.1407134,-73.2611666
DC,FWA3,FC,"Healy Cir, Washington, DC 20007",,
DC,GSE2,FC,"Healy Cir, Washington, DC 20007",,
DC,RDC1,FC,"1 Scott Cir NW, Washington, DC 20036",,
DC,RVA1,FC,"7213 Blair Rd NW, Washington, DC 20012",38.9771774,-77.0206213
Delaware,PHL1,FC,"1 Centerpoint Boulevard, New Castle, DE 19720",39.6639211,-75.590196
Delaware,PHL3,FC,"1600 Johnson Way, New Castle, DE 19720",39.6621118,-75.5877591
Delaware,PHL7,FC,"560 Merrimac Avenue, Middletown, DE 19709-4652",39.4502985,-75.7382873
Delaware,PHL8,FC,"727 N. Broad Street, Middletown, DE 19709-1166",,
Florida,DJA1,FC,"11084 Cabot Commerce Circle, Jacksonville, FL 32226",,
Florida,DJX1,FC,"21 E Union St, Jacksonville, FL 32202",,
Florida,DM01,FC,"Tangelo Park, Orlando, FL 32189",28.4505446,-81.4164403
Florida,DM11,FC,"15600 NW 15th Ave., Miami Gardens, FL 33169",25.9170587,-80.2266213
Florida,DMI2,FC,"3200 Northwest 67th Avenue, Miami, FL 33122",25.806567,-80.305033
Florida,DMI3,FC,"3966 NW 65th Ave, Virginia Gardens, FL 33166",25.8107679,-80.3023661
Florida,DMO1,FC,"4917 Anzio St, Orlando, FL 32819",,
Florida,DSR1,FC,"2000 Main St, Sarasota, FL 34237",27.336378,-82.530838
Florida,DTP1,FC,"108 W Brandon Blvd, Brandon, FL 33511",27.9378248,-82.2860145
Florida,DTP2,FC,"1868-1950 Beach Dr SE, St. Petersburg, FL 33705",,
Florida,FFL1,FC,"820 NW 41st St, Doral, FL 33178",25.8115664,-80.3651917
Florida,FFL2,FC,"1201-1211 Brickell Ave, Miami, FL 33131",25.7652047,-80.1910293
Florida,FMI3,FC,"3966 NW 65th Ave, Virginia Gardens, FL 33166",25.8107679,-80.3023661
Florida,JAX1,FC,"12900 Pecan Park Road, Jacksonville, FL 32218",30.4653236,-81.6802939
Florida,JAX2,FC,"12900 Pecan Park Rd., Jacksonville, FL 32218-2432",,
Florida,LAL1,FC,"1760 County Line Road, Lakeland, FL 33811",27.9984457,-82.0560095
Florida,MC05,FC,"305 Deen Still Road, Davenport, FL 33897",,
Florida,MCO1,FC,"12340 Boggy Creek Rd, Orlando, FL 32824, United States",28.3861283,-81.3123152
Florida,MIA1,FC,"14000 NW 37th Ave, Opa Locka, FL 33054-6324",25.9029735,-80.2602148
Florida,MIA6,FC,"3200 NW 67th Avenue, Miami, FL 33122",25.806567,-80.305033
Florida,PFL1,FC,"1001 13th Avenue East, Bradenton, FL 34208",27.4881544,-82.5541985
Florida,RFL1,FC,"1201-1211 Brickell Ave, Miami, FL 33131",25.7652047,-80.1910293
Florida,RFL3,FC,"500 E Zack St, Tampa, FL 33602",27.9508805,-82.4569134
Florida,RFL4,FC,"2-50 W South St, Orlando, FL 32801",,
Florida,RMI1,FC,"8855 SW 50th Terrace, Miami, FL 33165",25.7228034,-80.3396445
Florida,SUOD,FC,"121 Kelsey Ln, Tampa, FL 33619",,
Florida,TPA1,FC,"351 30th Street NE, Ruskin, FL 33570",27.7241757,-82.3926888
Florida,TPA2,FC,"1760 County Line Road, Lakeland, FL 33811",27.9984457,-82.0560095
Florida,UFL1,FC,"15600 NW 15th Ave, Miami Gardens, FL 33169",,
Florida,UFL2,FC,"101 NE 23rd Street, Miami, FL 33137",,
Florida,UFL3,FC,"4430 East Adamo Suite 305, Tampa, FL 33605",,
Florida,UFL4,FC,"7469 Kingspointe Parkway, Orlando, FL 32819 – Orange County",28.4623055,-81.4384801
Florida,XUSF,FC,"901 West Landstreet Road Suite C, Orlando, FL 32824",,
Georgia,ALT9,FC,"(920 Highway 124), Braselton, GA 30517",,
Georgia,ATL2,FC,"2255 W Park Blvd, Stone Mountain, Georgia, 30087 , DeKalb County",,
Georgia,ATL7,FC,"6855 Shannon Pkwy, Union City, GA 30291-2091",33.5698201,-84.5394174
Georgia,CGA2,FC,"77 Collier Rd NW, Atlanta, GA 30309",33.8080566,-84.3969404
Georgia,DAT1,FC,"2-20 E South St, Smyrna, DE 19977",,
Georgia,DAT2,FC,"1544-1542 E Cleveland Ave, EastPoint, GA 30344",,
Georgia,DAT3,DC,"2750 Sullivan Rd, Atlanta, GA 30337, United States",33.6221996,-84.4795443
Georgia,FGA2,FC,"2185-2199 La Dawn Ln NW, Atlanta, GA 30318",,
Georgia,MGE1,FC,"650 Broadway Ave, Braselton, GA 30517-3002",34.1064981,-83.7719226
Georgia,MGE3,FC,"808 Hog Mountain Rd., Building F, Jefferson, GA, 30549",,
Georgia,MGE7,FC,"650 Broadway Ave, Braselton, GA 30517-3002 – Jackson County",34.1064981,-83.7719226
Georgia,PGA1,FC,"6200 Fulton Industrial Blvd, Atlanta, Georgia, 30336 , Fulton County (Seasonal facility)",,
Georgia,RAT2,FC,"206 Washington St SW, Atlanta, GA 30334",33.7490553,-84.3881711
Georgia,RGA2,FC,"206 Washington St SW, Atlanta, GA 30334",33.7490553,-84.3881711
Georgia,SAV1,FC,"Georgia Ports Authority Garden City Terminal, Building CFS #2, Garden City, GA 31408",,
Georgia,SAV3,FC,"7001 Skipper Rd., Macon, GA 312166427 , Bibb County",,
Georgia,TBD,FC,"4995 Skipper Road, Macon, GA",,
Georgia,UGA1,FC,"Atlanta, GA 30318",33.7544657,-84.3898151
Georgia,UGA2,FC,"Atlanta, GA 30318",33.7544657,-84.3898151
Georgia,UGA3,FC,"2160 Breckinridge Blvd Bldg 100 Suite 100, Lawrenceville, GA 30043",,
Georgia,VUAT,FC,"6855 Shannon Pkwy, Union City, GA 30291",33.5698201,-84.5394174
Georgia,VUKG,FC,"3201 Centre Parkway, East Point, GA 30344",33.6524961,-84.5099435
Georgia,VUOJ,FC,"250 Declaration Avenue, Suite 500, McDonough, GA 30253",,
Georgia,VUPN,FC,"340 Westridge Parkway, McDonough, GA 30253",33.4053172,-84.1876599
Georgia,VUPK,FC,"6720 Oakley Industrial Blvd, Union City, GA 30291",33.5713384,-84.5219874
Illinois,DCH1,FC,"2801 S. Western Ave., Chicago, IL 60608",,
Illinois,DCH2,FC,"8220 Austin Ave., Morton Grove, IL 60053",42.0296851,-87.7765484
Illinois,DCH3,FC,"4500 Western Ave., Lisle, IL 60532",41.8032687,-88.0972517
Illinois,DCH4,FC,"3 S Lake St, Mundelein, IL 60060",42.2630044,-88.0038881
Illinois,DHO1,FC,"501-505 Ridgemoor Dr, Willowbrook, IL 60527",41.7680821,-87.9387683
Illinois,FIL1,FC,"1162 N Hickory Ave, ArlingtonHeights, IL 60004",,
Illinois,FIL2,FC,"110 E Irving Park Rd, Wood Dale, IL 60191",,
Illinois,HIL1,FC,"1111 Cherry Street, Chicago, IL 60642",,
Illinois,HIL2,FC,"1111 N Cherry Ave, Chicago, IL 60642",41.9026967,-87.6532767
Illinois,HMW1,FC,"30260 Graaskamp Blvd, Wilmington, Illinois 60481 , Will County",41.3378468,-88.2083868
Illinois,MDW1,FC,"Greater Chicago Area, Joliet, IL 60433",,
Illinois,MDW2,FC,"250 Emerald Drive Joliet,IL 60433-3280 United States",,
Illinois,MDW4,FC,"201 Emerald Drive, Joliet, IL 60433",41.4868153,-88.074674
Illinois,MDW5,FC,"1125 W Remington Blvd, Romeoville, IL 60556",,
Illinois,MDW6,FC,"1125 Remington Blvd, Romeoville, IL 60446",41.6740688,-88.1177067
Illinois,MDW7,FC,"6521 W Monee Manhattan Road, Monee, IL 60449",41.4267577,-87.7707331
Illinois,MDW8,FC,"1750 Bridge Dr., Waukegan, IL 60085-3004",,
Illinois,MDW9,FC,"2865 Duke Parkway, Aurora, IL 60502-9551",41.8149559,-88.2127874
Illinois,MDWX,FC,"2801 S. Western Ave, Chicago, IL 60608",,
Illinois,MDWY,FC,"Route 59, Aurora, IL 60563",41.7780677,-88.2084482
Illinois,MDWZ,FC,"Route 59, Aurora, IL 60563",41.7780677,-88.2084482
Illinois,ORD6,FC,"1250 N Mittel Blvd, Wood Dale, Illinois, US",,
Illinois,PIL1,FC,"801 Midpoint Road, Minooka, Illinois 60047 , Lake County (Seasonal facility)",,
Illinois,RCH1,FC,"701-1899 Fellows Pl, NorthChicago, IL 60064",,
Illinois,RIL1,FC,"310 S Federal St, Chicago, IL 60604",,
Illinois,SLT7,FC,"3931 Lakeview Corporate Dr., Edwarsville, IL 62025",,
Illinois,STL4,FC,"3050 Gateway Commerce Center Drive South, Edwardsville, IL 62025",38.7718709,-90.0406468
Illinois,STL6,FC,"3931 Lakeview Corporate Drive, Edwardsville, IL 62025",38.784143,-90.0770505
Illinois,STL7,FC,"3931 Lakeview Corporate Drive, Edwardsville, IL 62025",38.784143,-90.0770505
Illinois,TBD2,FC,"1111 N Cherry Ave, Goose Island, IL 60642",,
Illinois,TBD3,FC,"401 E Laraway Road, Joliet, IL 40433",41.4811467,-88.0648709
Illinois,TBD7,FC,"2801 S. Western Ave, Chicago, IL 60608",41.8404011,-87.6835193
Illinois,TIL1,FC,"1111 N Cherry Street, Chicago, IL 60642",,
Illinois,UIL1,FC,"1162 N Hickory Ave, ArlingtonHeights, IL 60004",,
Illinois,UIL2,FC,"1250 N Mittel Blvd, Wood Dale, IL 60191",,
Illinois,VUOK,FC,"21837 W. Mississippi Ave, Elwood, IL 60421",41.4039834,-88.1154821
Indiana,DIN1,FC,"1861 Monument Cir, Indianapolis, IN 46204",39.7689086,-86.1575739
Indiana,IND1,FC,"4255 Anson Boulevard, Whitestown, IN 46075",39.9796754,-86.3796545
Indiana,IND2,FC,"715 Airtech Parkway, Plainfield, IN 46168",39.7083709,-86.3462687
Indiana,IND3,FC,"717 Airtech Parkway, Plainfield, IN 46168",39.7083854,-86.346269
Indiana,IND4,FC,"710 South Girls School Road, Indianapolis, IN 46214",39.7546832,-86.2890998
Indiana,IND5,FC,"800 S Perry Road, Plainfield, IN 46168",,
Indiana,IND6,FC,"1453 10th Street, Jeffersonville, IN 47130",38.2890898,-85.7284487
Indiana,IND7,FC,"9101 Orly Dr, Indianapolis, IN 46241",,
Indiana,PIN1,FC,"6161 Decatur Blvd, Indianapolis, Indiana 46241 , Marion County (Seasonal Facility)",,
Indiana,PISA,FC,"900 Patrol Rd, Jeffersonville, IN 47130",38.3787641,-85.6867886
Indiana,SDF8,FC,"900 Patrol Road, Jeffersonville, IN 47130",38.3787641,-85.6867886
Indiana,UIN1,FC,"505 S Tibbs Ave, Indianapolis, IN 46241",,
Indiana,VUHA,FC,"700 Chase Street, Gary, IN 46404",41.598355,-87.3758337
Indiana,VUMC,FC,"650 Commerce Pkwy W Drive, Greenwood, IN 46143",,
Indiana,XUSE,FC,"5100 S Indianapolis Road, Whitestown, IN 46075",,
Kansas,MCI1,FC,"113th Street and Renner Boulevard, Lenexa, KS, 66219",,
Kansas,MCI7,FC,"27200 W 157th St, New Century, KS 66031",38.8453992,-94.901618
Kansas,MCIX,FC,"113th Street and Renner Boulevard, Lenexa, KS 66219",,
Kansas,MKC4,FC,"19645 Waverly Road, Edgerton, KS 66021-9588",,
Kansas,MKC6,FC,"6925 Riverview Ave., Kansas City, KS 66102",39.0969897,-94.7391231
Kansas,TUL1,FC,"2654 N US Highway 169 Coffeyville, KS 67337",,
Kansas,XUSK,FC,"31450 W 196th St., Edgerton, KS 66021",38.7726589,-94.9508048
Kentucky,CVG1,FC,"1155 Worldwide Blvd. Hebron, KY 41048",39.0846526,-84.713478
Kentucky,CVG2,FC,"1600 Worldwide Blvd. Hebron, KY 41048",39.0874404,-84.7258207
Kentucky,CVG3,FC,"3680 Langley Drive, Hebron, KY 41048",39.060182,-84.7135128
Kentucky,CVG8,FC,"7968 Kentucky Dr, Suites 23, Florence, Kentucky 41042 , Boone County",,
Kentucky,DKY1,FC,"409 S 5th St, Louisville, KY 40202",,
Kentucky,IVSA,FC,"4620 Olympic Blvd, Erlanger, Kentucky 41018 , Kenton County",39.0426606,-84.6185606
Kentucky,IVSB,FC,"3521 POINT PLEASANT RD, Hebron, Kentucky, US",,
Kentucky,LEX1,FC,"1850 Mercer Road, Lexington, KY 40511",38.0772432,-84.5296355
Kentucky,LEX2,FC,"172 Trade Street, Lexington, Kentucky 40511",,
Kentucky,LEX3,FC,"1850 Mercer Rd Lexington, KY 40511 – Fayette County",38.0778404,-84.5331091
Kentucky,PICV,FC,"1155 Worldwide Blvd., Hebron, KY 41048",39.0846526,-84.713478
Kentucky,PISB,FC,"376 Zappos.com Blvd, Shepherdsville, KY 40165",,
Kentucky,PISC,FC,"271 Omega Parkway, Shepherdsville, KY 40165",37.9781109,-85.6833752
Kentucky,SDF1,FC,"1105 S Columbia Avenue, Campbellsville, KY 42718",37.3260633,-85.3527161
Kentucky,SDF2,FC,"4360 Robards Lane, Louisville, KY 40218",38.1951343,-85.6927171
Kentucky,SDF4,FC,"376 Zappos.com Boulevard, Shepherdesville, KY 40165",,
Kentucky,SDF6,FC,"271 Omega Parkway, Shepherdsville, KY 40165",37.9781109,-85.6833752
Kentucky,SDF7,FC,"300 Omicron Court, Shepherdsville, KY 40165",37.9638738,-85.6758389
Kentucky,SDF9,FC,"100 W. Thomas P. Echols Lane, Shepherdsville, KY 40165",,
Louisiana,DNO1,FC,"337 Carondelet St, NewOrleans, LA 70130",,
Maryland,BWI0,FC,"2010 Broening Highway, Baltimore, MD 21224",39.2679483,-76.5446963
Maryland,DBA1,FC,"3800 E Baltimore St, Baltimore, MD 21224",39.2928114,-76.5652993
Maryland,DCA1,FC,"1700 SPARROWS POINT BLVD, SPARROWS POINT, MD 21219",39.2224691,-76.4690456
Maryland,DDC2,FC,"861 E Gude Drive, Rockville, MD 20850",39.0982234,-77.1371298
Maryland,HBA1,DC,"1100 Woodley Rd, Aberdeen, Maryland 210014042 , Harford County",,
Maryland,MDT2,FC,"600 Principio Parkway West, North East, MD 21901-2914",,
Maryland,RMD1,FC,"201-211 E Fayette St, Baltimore, MD 21202",,
Maryland,SUOC,FC,"8750 Larkin Rd, Savage, MD 20763",39.1303392,-76.8106627
Maryland,TBD,FC,"1600 Sparrow Point B…, Dundalk, MA",,
MaryLand,XUSL,FC,"610 Chelsea Rd, Aberdeen, MD 21001",,
MaryLand,XUSM,FC,"610 Chelsea Rd, Aberdeen, MD 21001",,
Massachusetts,BOS3,FC,"Fall River, MA 2720",,
Massachusetts,BOS7,FC,"1180 Innovation Way, Fall River, MA 02722",41.7621205,-71.1001379
Massachusetts,DB01,FC,"201 Beacham Street, Everett (Chelsea), MA 2149",42.3936942,-71.0532586
Massachusetts,DB02,FC,"500 Sprague St., Dedham, MA 2026",42.2331845,-71.1399363
Massachusetts,DBO2,FC,"199 Eastern Ave, Dedham, MA 2026",42.243532,-71.16778
Massachusetts,RMA3,FC,"112-116 Newland St, Boston, MA 2118",42.3401915,-71.0745156
Massachusetts,UMA3,FC,"30 Northampton Street, Boston, MA 2118",42.3341415,-71.0756619
MDW3,Illinois,FC,"809 S Wright St, Champaign, IL 61820, United States",40.1082137,-88.2292149
Michigan,DET2,FC,"50500 Mound Rd, Shelby Township, MI 48317",42.6660889,-83.0497235
Michigan,DTW2,FC,"32801 Ecorse Rd, Romulus, MI 48174, United States",42.2506052,-83.3616788
Michigan,DTW3,FC,"23 mile and mound roads, Shelby, MI, 48316",,
Michigan,GRR1,FC,"4500 68th St. SE, Caledonia (Gaines Township), Michigan 49316 , Kent County",42.8383498,-85.5505083
Michigan,DET1,FC,"39000 Amrhein Rd, Livonia, MI 48150",42.3743432,-83.4288557
Michigan,DTW1,FC,"39000 Amrhein Rd., Livonia, MI 48150-1043",42.3743432,-83.4288557
Minnesota,ATL9,FC,"2232 Northmont Parkway, Duluth, GA 30096",,
Minnesota,CLE1,FC,"4641 Warrensville Ce… North Randall, 44128",,
Minnesota,DMN1,FC,"2811 Beverly Drive, Eagen, MN 55121",,
Minnesota,DMS1,FC,"4216 Pilot Knob Rd, Eagan, MN 55123",44.8043342,-93.1670704
Minnesota,MSP1,FC,"2601 4th Avenue East, Shakopee, MN 55379",44.8006182,-93.4887011
Minnesota,RMN1,FC,"301-399 S 4th St, Minneapolis, MN 55401",,
Minnesota,RMN2,FC,"301-399 S 4th St, Minneapolis, MN 55401",,
Minnesota,UMN1,FC,"763 Kasota Ave., Minneapolis, MN 55414",44.9815715,-93.2148034
